Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
1138,British Red Cross,,,,2019-2022 COVID-19 Pandemic,59646500.199069925
967,Iran,emro,Asia,Southern Asia,2019-2022 COVID-19 Pandemic,51793834
944,Finland,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,48289535.79451974
1429,United Nations Central Emergency Response Fund (UN CERF),,,,2019-2022 COVID-19 Pandemic,42741010
969,Ireland,euro,Europe,Northern Europe,2019-2022 COVID-19 Pandemic,42017723.64539977
1333,Oxfam International,,,,2019-2022 COVID-19 Pandemic,41084479.151850335
1692,Unitaid,,,,2019-2022 COVID-19 Pandemic,35000000
1691,World Bank Trust Funds,,,,2019-2022 COVID-19 Pandemic,34071575.04
1807,Islamic Development Bank,,,,2019-2022 COVID-19 Pandemic,33176422
1765,Oxfam GB,,,,2019-2022 COVID-19 Pandemic,31524463.62280365
1359,Reed Hastings and Patty Quillin,,,,2019-2022 COVID-19 Pandemic,30000000
